Index;PIB_USA;TC;PIB;PIB_CORR;CC;IMAE;IPC;BC;X;M;RIN;REM;DF;D_PIB;CRE;CRE_PRIV;CRE_PRIV_MN;CRE_PRIV_MX;TASA_A;TASA_P;TPM;ENCAJE;ITCER_USA;ITCER_GL;ITCER_REG;ITCER_RM;EMBI;IPC_USA;CAFE;PET;VIX;GS6M;TBILL
1/3/1990;9392.251;3.616666667;;;;;17.98254948;9.136766667;91.77386667;82.6371;;;;;;;;;;;;;;;;;;128.7;;20.39;21.9;8.28;7.9
1/6/1990;9398.499;4.133333333;;;;;19.39419735;-21.20944762;69.60045238;90.8099;;;;;;;;;;;;;;;;;;129.9;;16.7;17.09;8.05;7.73
1/9/1990;9312.937;4.2;;;;;20.6143151;-5.534809524;67.40099048;72.9358;;;;;;;;;;;;;;;;;;132.7;;33.51;17.09;7.7;7.36
1/12/1990;9269.367;5.4;;;;;23.09001915;-7.915913084;50.80498692;58.7209;;;;;;;;;;;;;;;;;;133.8;;27.28;17.09;7.03;6.74
1/3/1991;9341.642;5.3;;;;;25.21103781;15.33780566;87.33710566;71.9993;;;;;;;;;;;;;;;;;;135;;19.9;17.09;6.2;5.91
1/6/1991;9388.845;5.3;;;;;26.80712208;-2.798592854;84.25319811;87.05179097;;;;;;;;;;;;;;;;;;136;;20.19;17.09;6.02;5.57
1/9/1991;9421.565;5.3;;;;;27.46683692;-24.71183585;49.49256415;74.2044;;;;;;;;;;;;;;;;;;137.2;;21.89;17.09;5.48;5.22
1/12/1991;9534.346;5.366666667;;;;;28.02723984;-49.96308148;52.29131852;102.2544;;;;;;;;;23.2;11.9;;;;;;;;137.9;;19.5;17.09;4.26;4.07
1/3/1992;9637.732;5.4;;;;;28.45;-10.46435256;72.79194744;83.2563;;;;;;;;;22.4;12.4;;;;;;;;139.3;;18.92;17.09;4.33;4.04
1/6/1992;9732.979;5.41;;;;;28.87;-32.25712619;71.51577381;103.7729;;;;;;;;;21.7;12.3;;;;;;;;140.2;;22.39;14.43;3.9;3.66
1/9/1992;9834.51;5.543333333;;;;;29.12;-32.16237088;63.79192912;95.9543;;;;;;;;;20.9;12.1;;;;;;;;141.3;;21.88;13.4;3.04;2.91
1/12/1992;9850.973;5.815333333;;;;;29.85;-30.40070195;49.77889805;80.1796;;;;;;;;;20.7;12.8;;;;;;;;141.9;;19.41;12.8;3.47;3.22
1/3/1993;9908.347;5.843333333;;;;;30.53;-6.413355;104.948045;111.3614;;;;;;;;;20.7;11.2;;;;;;;;143.6;;20.32;13.6;3.15;2.95
1/6/1993;9955.641;6.066666667;;;;;31.85;-74.716428;62.172532;136.88896;;;;;;;;;21;11.8;;;;;;;;144.4;;19.09;13.67;3.29;3.07
1/9/1993;10091.049;6.863333333;;;;;32.98;-44.871931;67.776769;112.6487;;;;;;;;;23.2;11.4;;;;;;;;145.1;;17.5;11.48;3.15;2.95
1/12/1993;10188.954;7.106666667;;;;;33.74;-31.797261;73.867509;105.66477;;;;;;;;;23.4;11.4;;;;;;;;145.8;;14.52;13.83;3.34;3.06
1/3/1994;10327.019;7.423333333;;;;;35.6;-27.50218666;81.78761334;109.2898;;;;;;;;;23.3;11.8;;;;;;;;147.2;;14.68;15.83;3.92;3.5
1/6/1994;10387.382;8.12;;;;;38.8;-54.83979576;68.92437424;123.76417;;;;;;;;;24.6;12;;;;;;;;148;;19.06;12.72;4.72;4.14
1/9/1994;10506.372;8.863333333;;;;;40.97;-38.67700198;82.87016802;121.54717;;;;;;;;;25.7;10.9;;;;;;;;149.4;;17.45;11.86;5.24;4.62
