Index;IMAE;IPC;BC;X;M;RIN;REM;DF;D_PIB;CRE;CRE_PRIV;CRE_PRIV_MN;CRE_PRIV_MX;TASA_A;TASA_P;TPM;ENCAJE;ITCER_USA;ITCER_GL;ITCER_REG;ITCER_RM;EMBI
1/1/1990;;17.2802724;-14.46885;61.58185;76.0507;;;;;;;;;;;;;;;;;
1/2/1990;;17.80520678;17.4392;89.2534;71.8142;;;;;;;;;;;;;;;;;
1/3/1990;;17.98254948;9.136766667;91.77386667;82.6371;;;;;;;;;;;;;;;;;
1/4/1990;;18.71320139;34.705825;95.099625;60.3938;;;;;;;;;;;;;;;;;
1/5/1990;;18.95438746;-4.249885366;81.48431463;85.7342;;;;;;;;;;;;;;;;;
1/6/1990;;19.39419735;-21.20944762;69.60045238;90.8099;;;;;;;;;;;;;;;;;
1/7/1990;;20.01844364;-25.88721429;56.32148571;82.2087;;;;;;;;;;;;;;;;;
1/8/1990;;20.32347308;-17.12778095;62.72241905;79.8502;;;;;;;;;;;;;;;;;
1/9/1990;;20.6143151;-5.534809524;67.40099048;72.9358;;;;;;;;;;;;;;;;;
1/10/1990;;21.72093353;-52.01497732;47.91762268;99.9326;;;;;;;;;;;;;;;;;
1/11/1990;;22.43739803;-16.66291284;57.03898716;73.7019;;;;;;;;;;;;;;;;;
1/12/1990;;23.09001915;-7.915913084;50.80498692;58.7209;;;;;;;;;;;;;;;;;
1/1/1991;;24.0334823;0.808184906;67.13528491;66.3271;;;;;;;;;;;;;;;;;
1/2/1991;;24.87763354;9.294477358;71.76187736;62.4674;;;;;;;;;;;;;;;;;
1/3/1991;;25.21103781;15.33780566;87.33710566;71.9993;;;;;;;;;;;;;;;;;
1/4/1991;;26.03390792;13.28420363;90.44382453;77.1596209;;;;;;;;;;;;;;;;;
1/5/1991;;26.33893736;12.74535526;92.0595434;79.31418813;;;;;;;;;;;;;;;;;
1/6/1991;;26.80712208;-2.798592854;84.25319811;87.05179097;;;;;;;;;;;;;;;;;
1/7/1991;;27.23274456;-31.48059434;50.14930566;81.6299;;;;;;;;;;;;;;;;;
1/8/1991;;27.57324253;-35.84562453;44.88787547;80.7335;;;;;;;;;;;;;;;;;
1/9/1991;;27.46683692;-24.71183585;49.49256415;74.2044;;;;;;;;;;;;;;;;;
1/10/1991;;27.73639782;-33.77272453;53.09017547;86.8629;;;;;;;;;;;;;;;;;
1/11/1991;;27.96339647;-35.9967963;49.4979037;85.4947;;;;;;;;;;;;;;;;;
1/12/1991;;28.02723984;-49.96308148;52.29131852;102.2544;;;;;;;;;23.2;11.9;;;;;;;
1/1/1992;;28.07;-9.447109751;71.14199025;80.5891;;;;;;;;;22.7;12.3;;;;;;;
1/2/1992;;28.38;-8.985149599;66.8613504;75.8465;;;;;;;;;22.5;12.4;;;;;;;
1/3/1992;;28.45;-10.46435256;72.79194744;83.2563;;;;;;;;;22.4;12.4;;;;;;;
1/4/1992;;28.74;-1.679744013;83.20995599;84.8897;;;;;;;;;22.2;12.6;;;;;;;
1/5/1992;;28.85;-6.897768835;73.63983117;80.5376;;;;;;;;;21.7;12.6;;;;;;;
1/6/1992;;28.87;-32.25712619;71.51577381;103.7729;;;;;;;;;21.7;12.3;;;;;;;
1/7/1992;;29.03;-31.24682882;67.08817118;98.335;;;;;;;;;22.2;12.2;;;;;;;
1/8/1992;;29.09;-23.47009827;64.92100173;88.3911;;;;;;;;;21.2;12.2;;;;;;;
1/9/1992;;29.12;-32.16237088;63.79192912;95.9543;;;;;;;;;20.9;12.1;;;;;;;
1/10/1992;;29.24;-28.42848653;57.47461347;85.9031;;;;;;;;;21;12.1;;;;;;;
1/11/1992;;29.58;-19.81336538;59.28453462;79.0979;;;;;;;;;21;12.1;;;;;;;
1/12/1992;;29.85;-30.40070195;49.77889805;80.1796;;;;;;;;;20.7;12.8;;;;;;;
1/1/1993;;30.01;-21.916349;68.967451;90.8838;;;;;;;;;20.7;11.8;;;;;;;
1/2/1993;;30.3;-2.681634;89.297666;91.9793;;;;;;;;;20.7;11.6;;;;;;;
1/3/1993;;30.53;-6.413355;104.948045;111.3614;;;;;;;;;20.7;11.2;;;;;;;
1/4/1993;;31.12;-17.093024;74.227046;91.32007;;;;;;;;;20.7;11.8;;;;;;;
1/5/1993;;31.39;-41.129876;76.703784;117.83366;;;;;;;;;21.1;11.8;;;;;;;
1/6/1993;;31.85;-74.716428;62.172532;136.88896;;;;;;;;;21;11.8;;;;;;;
1/7/1993;;32.81;-47.410765;60.480935;107.8917;;;;;;;;;23.2;11.8;;;;;;;
1/8/1993;;33.17;-44.927261;65.706639;110.6339;;;;;;;;;23.2;11.8;;;;;;;
1/9/1993;;32.98;-44.871931;67.776769;112.6487;;;;;;;;;23.2;11.4;;;;;;;
1/10/1993;;33.21;-48.045247;59.088523;107.13377;;;;;;;;;23.4;11.4;;;;;;;
1/11/1993;;33.53;-47.761003;58.563267;106.32427;;;;;;;;;23.4;11.4;;;;;;;
1/12/1993;;33.74;-31.797261;73.867509;105.66477;;;;;;;;;23.4;11.4;;;;;;;
1/1/1994;;34.21;-36.16441587;73.17980413;109.34422;;;;;;;;;23.33;11.75;;;;;;;
1/2/1994;;35.25;-36.43202968;83.88666032;120.31869;;;;;;;;;23.02;11.61;;;;;;;
1/3/1994;;35.6;-27.50218666;81.78761334;109.2898;;;;;;;;;23.3;11.8;;;;;;;
1/4/1994;;36.59;-13.74790974;95.42895026;109.17686;;;;;;;;;23.4;11.5;;;;;;;
1/5/1994;;38.03;-61.59120325;86.31685675;147.90806;;;;;;;;;23.3;12;;;;;;;
1/6/1994;;38.8;-54.83979576;68.92437424;123.76417;;;;;;;;;24.6;12;;;;;;;
1/7/1994;;39.86;-44.8423293;88.4716007;133.31393;;;;;;;;;25.5;11.7;;;;;;;
1/8/1994;;40.7;-36.50876854;85.21767146;121.72644;;;;;;;;;25.6;13.4;;;;;;;
1/9/1994;;40.97;-38.67700198;82.87016802;121.54717;;;;;;;;;25.7;10.9;;;;;;;
1/10/1994;;41.68;-52.92817952;63.98588048;116.91406;;;;;;;;;26.2;11;;;;;;;
1/11/1994;;42.97;-50.98435791;67.71202209;118.69638;;;;;;;;;26;9.8;;;;;;;
1/12/1994;;43.5;-40.55017179;87.71839821;128.26857;;;;;;;;;26.1;11.1;;;;;;;
